Method,Parameter Types,Param Sizes,Total Param Size
java.lang.Integer.parseInt(java.lang.String): int,['java.lang.String'],[24],24
java.lang.Integer.valueOf(int): java.lang.Integer,['int'],[16],16
java.lang.Object.Object(),[],[],0
java.lang.RuntimeException.RuntimeException(java.lang.String),['java.lang.String'],[24],24
java.lang.String.equals(java.lang.Object): boolean,['java.lang.Object'],[16],16
java.lang.String.length(): int,[],[],0
java.lang.String.split(java.lang.String): java.lang.String[],['java.lang.String'],[24],24
java.lang.String.toLowerCase(): java.lang.String,[],[],0
java.lang.String.trim(): java.lang.String,[],[],0
java.math.BigDecimal.BigDecimal(int),['int'],[16],16
java.math.BigDecimal.ZERO,[],[],0
java.math.BigDecimal.add(java.math.BigDecimal): java.math.BigDecimal,['java.math.BigDecimal'],[16],16
java.math.BigDecimal.multiply(java.math.BigDecimal): java.math.BigDecimal,['java.math.BigDecimal'],[16],16
java.util.ArrayList.ArrayList(),[],[],0
java.util.Arrays.asList(java.lang.Object[]): java.util.List,['java.lang.Object[]'],[24],24
java.util.Collections.synchronizedMap(java.util.Map): java.util.Map,['java.util.Map'],[48],48
java.util.Collections.unmodifiableList(java.util.List): java.util.List,['java.util.List'],[24],24
java.util.Date.Date(),[],[],0
java.util.HashMap.HashMap(),[],[],0
java.util.HashMap.HashMap(int),['int'],[16],16
java.util.Iterator.hasNext(): boolean,[],[],0
java.util.Iterator.next(): java.lang.Object,[],[],0
java.util.Iterator.remove(): void,[],[],0
java.util.List.add(java.lang.Object): boolean,['java.lang.Object'],[16],16
java.util.List.addAll(java.util.Collection): boolean,['java.util.Collection'],[24],24
java.util.List.forEach(java.util.function.Consumer): void,['java.util.function.Consumer'],[16],16
java.util.List.iterator(): java.util.Iterator,[],[],0
java.util.List.remove(java.lang.Object): boolean,['java.lang.Object'],[16],16
java.util.List.size(): int,[],[],0
java.util.List.stream(): java.util.stream.Stream,[],[],0
java.util.Map.containsKey(java.lang.Object): boolean,['java.lang.Object'],[16],16
java.util.Map.get(java.lang.Object): java.lang.Object,['java.lang.Object'],[16],16
"java.util.Map.put(java.lang.Object, java.lang.Object): java.lang.Object","['java.lang.Object', 'java.lang.Object']","[16, 16]",32
java.util.Map.remove(java.lang.Object): java.lang.Object,['java.lang.Object'],[16],16
java.util.Optional.filter(java.util.function.Predicate): java.util.Optional,['java.util.function.Predicate'],[16],16
java.util.Optional.ifPresent(java.util.function.Consumer): void,['java.util.function.Consumer'],[16],16
java.util.Optional.map(java.util.function.Function): java.util.Optional,['java.util.function.Function'],[16],16
java.util.Optional.ofNullable(java.lang.Object): java.util.Optional,['java.lang.Object'],[16],16
java.util.Optional.orElse(java.lang.Object): java.lang.Object,['java.lang.Object'],[16],16
java.util.stream.Stream.map(java.util.function.Function): java.util.stream.Stream,['java.util.function.Function'],[16],16
"java.util.stream.Stream.reduce(java.lang.Object, java.util.function.BinaryOperator): java.lang.Object","['java.lang.Object', 'java.util.function.BinaryOperator']","[16, 16]",32
javax.servlet.http.HttpServletRequest.getParameter(java.lang.String): java.lang.String,['java.lang.String'],[24],24
javax.servlet.http.HttpServletRequest.getSession(): javax.servlet.http.HttpSession,[],[],0
javax.servlet.http.HttpSession.getAttribute(java.lang.String): java.lang.Object,['java.lang.String'],[24],24
javax.servlet.http.HttpSession.invalidate(): void,[],[],0
"javax.servlet.http.HttpSession.setAttribute(java.lang.String, java.lang.Object): void","['java.lang.String', 'java.lang.Object']","[24, 16]",40
net.sourceforge.stripes.action.ActionBeanContext.getMessages(): java.util.List,[],[],0
net.sourceforge.stripes.action.ActionBeanContext.getRequest(): javax.servlet.http.HttpServletRequest,[],[],0
net.sourceforge.stripes.action.ForwardResolution.ForwardResolution(java.lang.Class),['java.lang.Class'],[16],16
net.sourceforge.stripes.action.ForwardResolution.ForwardResolution(java.lang.String),['java.lang.String'],[24],24
net.sourceforge.stripes.action.RedirectResolution.RedirectResolution(java.lang.Class),['java.lang.Class'],[16],16
"net.sourceforge.stripes.action.SimpleMessage.SimpleMessage(java.lang.String, java.lang.Object[])","['java.lang.String', 'java.lang.Object[]']","[24, 24]",48
org.mybatis.jpetstore.domain.Account.Account(),[],[],0
org.mybatis.jpetstore.domain.Account.address1,[],[],0
org.mybatis.jpetstore.domain.Account.address2,[],[],0
org.mybatis.jpetstore.domain.Account.bannerName,[],[],0
org.mybatis.jpetstore.domain.Account.bannerOption,[],[],0
org.mybatis.jpetstore.domain.Account.city,[],[],0
org.mybatis.jpetstore.domain.Account.country,[],[],0
org.mybatis.jpetstore.domain.Account.email,[],[],0
org.mybatis.jpetstore.domain.Account.favouriteCategoryId,[],[],0
org.mybatis.jpetstore.domain.Account.firstName,[],[],0
org.mybatis.jpetstore.domain.Account.getAddress1(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getAddress2(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getBannerName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getCity(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getCountry(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getEmail(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getFirstName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getLanguagePreference(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getLastName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getPassword(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getPhone(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getState(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getStatus(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getUsername(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.getZip(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Account.isBannerOption(): boolean,[],[],0
org.mybatis.jpetstore.domain.Account.isListOption(): boolean,[],[],0
org.mybatis.jpetstore.domain.Account.languagePreference,[],[],0
org.mybatis.jpetstore.domain.Account.lastName,[],[],0
org.mybatis.jpetstore.domain.Account.listOption,[],[],0
org.mybatis.jpetstore.domain.Account.password,[],[],0
org.mybatis.jpetstore.domain.Account.phone,[],[],0
org.mybatis.jpetstore.domain.Account.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.Account.setAddress1(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setAddress2(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setBannerName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setBannerOption(boolean): void,['boolean'],[16],16
org.mybatis.jpetstore.domain.Account.setCity(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setCountry(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setEmail(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setFavouriteCategoryId(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setFirstName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setLanguagePreference(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setLastName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setListOption(boolean): void,['boolean'],[16],16
org.mybatis.jpetstore.domain.Account.setPassword(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setPhone(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setState(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setStatus(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setUsername(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.setZip(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Account.state,[],[],0
org.mybatis.jpetstore.domain.Account.status,[],[],0
org.mybatis.jpetstore.domain.Account.username,[],[],0
org.mybatis.jpetstore.domain.Account.zip,[],[],0
org.mybatis.jpetstore.domain.Cart.Cart(),[],[],0
"org.mybatis.jpetstore.domain.Cart.addItem(org.mybatis.jpetstore.domain.Item, boolean): void","['org.mybatis.jpetstore.domain.Item', 'boolean']","[64, 16]",80
org.mybatis.jpetstore.domain.Cart.containsItemId(java.lang.String): boolean,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Cart.getAllCartItems(): java.util.Iterator,[],[],0
org.mybatis.jpetstore.domain.Cart.getCartItemList(): java.util.List,[],[],0
org.mybatis.jpetstore.domain.Cart.getCartItems(): java.util.Iterator,[],[],0
org.mybatis.jpetstore.domain.Cart.getNumberOfItems(): int,[],[],0
org.mybatis.jpetstore.domain.Cart.getSubTotal(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.Cart.incrementQuantityByItemId(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Cart.itemList,[],[],0
org.mybatis.jpetstore.domain.Cart.itemMap,[],[],0
org.mybatis.jpetstore.domain.Cart.lambda$0(org.mybatis.jpetstore.domain.CartItem): java.math.BigDecimal,['org.mybatis.jpetstore.domain.CartItem'],[64],64
org.mybatis.jpetstore.domain.Cart.removeItemById(java.lang.String): org.mybatis.jpetstore.domain.Item,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Cart.serialVersionUID,[],[],0
"org.mybatis.jpetstore.domain.Cart.setQuantityByItemId(java.lang.String, int): void","['java.lang.String', 'int']","[24, 16]",40
org.mybatis.jpetstore.domain.CartItem.CartItem(),[],[],0
org.mybatis.jpetstore.domain.CartItem.calculateTotal(): void,[],[],0
org.mybatis.jpetstore.domain.CartItem.getItem(): org.mybatis.jpetstore.domain.Item,[],[],0
org.mybatis.jpetstore.domain.CartItem.getQuantity(): int,[],[],0
org.mybatis.jpetstore.domain.CartItem.getTotal(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.CartItem.inStock,[],[],0
org.mybatis.jpetstore.domain.CartItem.incrementQuantity(): void,[],[],0
org.mybatis.jpetstore.domain.CartItem.isInStock(): boolean,[],[],0
org.mybatis.jpetstore.domain.CartItem.item,[],[],0
org.mybatis.jpetstore.domain.CartItem.lambda$1(java.math.BigDecimal): java.math.BigDecimal,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.CartItem.quantity,[],[],0
org.mybatis.jpetstore.domain.CartItem.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.CartItem.setInStock(boolean): void,['boolean'],[16],16
org.mybatis.jpetstore.domain.CartItem.setItem(org.mybatis.jpetstore.domain.Item): void,['org.mybatis.jpetstore.domain.Item'],[64],64
org.mybatis.jpetstore.domain.CartItem.setQuantity(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.CartItem.total,[],[],0
org.mybatis.jpetstore.domain.Category.Category(),[],[],0
org.mybatis.jpetstore.domain.Category.categoryId,[],[],0
org.mybatis.jpetstore.domain.Category.description,[],[],0
org.mybatis.jpetstore.domain.Category.getCategoryId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Category.getDescription(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Category.getName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Category.name,[],[],0
org.mybatis.jpetstore.domain.Category.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.Category.setCategoryId(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Category.setDescription(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Category.setName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Category.toString(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.Item(),[],[],0
org.mybatis.jpetstore.domain.Item.attribute1,[],[],0
org.mybatis.jpetstore.domain.Item.attribute2,[],[],0
org.mybatis.jpetstore.domain.Item.attribute3,[],[],0
org.mybatis.jpetstore.domain.Item.attribute4,[],[],0
org.mybatis.jpetstore.domain.Item.attribute5,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute1(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute2(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute3(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute4(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute5(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getItemId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getListPrice(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.Item.getProduct(): org.mybatis.jpetstore.domain.Product,[],[],0
org.mybatis.jpetstore.domain.Item.getQuantity(): int,[],[],0
org.mybatis.jpetstore.domain.Item.getStatus(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getSupplierId(): int,[],[],0
org.mybatis.jpetstore.domain.Item.getUnitCost(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.Item.itemId,[],[],0
org.mybatis.jpetstore.domain.Item.listPrice,[],[],0
org.mybatis.jpetstore.domain.Item.product,[],[],0
org.mybatis.jpetstore.domain.Item.productId,[],[],0
org.mybatis.jpetstore.domain.Item.quantity,[],[],0
org.mybatis.jpetstore.domain.Item.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.Item.setAttribute1(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute2(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute3(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute4(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute5(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setItemId(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setListPrice(java.math.BigDecimal): void,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.Item.setProduct(org.mybatis.jpetstore.domain.Product): void,['org.mybatis.jpetstore.domain.Product'],[64],64
org.mybatis.jpetstore.domain.Item.setQuantity(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.Item.setStatus(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setSupplierId(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.Item.setUnitCost(java.math.BigDecimal): void,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.Item.status,[],[],0
org.mybatis.jpetstore.domain.Item.supplierId,[],[],0
org.mybatis.jpetstore.domain.Item.toString(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.unitCost,[],[],0
org.mybatis.jpetstore.domain.LineItem.LineItem(),[],[],0
"org.mybatis.jpetstore.domain.LineItem.LineItem(int, org.mybatis.jpetstore.domain.CartItem)","['int', 'org.mybatis.jpetstore.domain.CartItem']","[16, 64]",80
org.mybatis.jpetstore.domain.LineItem.calculateTotal(): void,[],[],0
org.mybatis.jpetstore.domain.LineItem.getItem(): org.mybatis.jpetstore.domain.Item,[],[],0
org.mybatis.jpetstore.domain.LineItem.getItemId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.LineItem.getLineNumber(): int,[],[],0
org.mybatis.jpetstore.domain.LineItem.getOrderId(): int,[],[],0
org.mybatis.jpetstore.domain.LineItem.getQuantity(): int,[],[],0
org.mybatis.jpetstore.domain.LineItem.getTotal(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.LineItem.getUnitPrice(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.LineItem.item,[],[],0
org.mybatis.jpetstore.domain.LineItem.itemId,[],[],0
org.mybatis.jpetstore.domain.LineItem.lambda$1(java.math.BigDecimal): java.math.BigDecimal,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.LineItem.lineNumber,[],[],0
org.mybatis.jpetstore.domain.LineItem.orderId,[],[],0
org.mybatis.jpetstore.domain.LineItem.quantity,[],[],0
org.mybatis.jpetstore.domain.LineItem.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.LineItem.setItem(org.mybatis.jpetstore.domain.Item): void,['org.mybatis.jpetstore.domain.Item'],[64],64
org.mybatis.jpetstore.domain.LineItem.setItemId(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.LineItem.setLineNumber(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.LineItem.setOrderId(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.LineItem.setQuantity(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.LineItem.setUnitPrice(java.math.BigDecimal): void,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.LineItem.total,[],[],0
org.mybatis.jpetstore.domain.LineItem.unitPrice,[],[],0
org.mybatis.jpetstore.domain.Order.Order(),[],[],0
org.mybatis.jpetstore.domain.Order.addLineItem(org.mybatis.jpetstore.domain.CartItem): void,['org.mybatis.jpetstore.domain.CartItem'],[64],64
org.mybatis.jpetstore.domain.Order.addLineItem(org.mybatis.jpetstore.domain.LineItem): void,['org.mybatis.jpetstore.domain.LineItem'],[64],64
org.mybatis.jpetstore.domain.Order.billAddress1,[],[],0
org.mybatis.jpetstore.domain.Order.billAddress2,[],[],0
org.mybatis.jpetstore.domain.Order.billCity,[],[],0
org.mybatis.jpetstore.domain.Order.billCountry,[],[],0
org.mybatis.jpetstore.domain.Order.billState,[],[],0
org.mybatis.jpetstore.domain.Order.billToFirstName,[],[],0
org.mybatis.jpetstore.domain.Order.billToLastName,[],[],0
org.mybatis.jpetstore.domain.Order.billZip,[],[],0
org.mybatis.jpetstore.domain.Order.cardType,[],[],0
org.mybatis.jpetstore.domain.Order.courier,[],[],0
org.mybatis.jpetstore.domain.Order.creditCard,[],[],0
org.mybatis.jpetstore.domain.Order.expiryDate,[],[],0
org.mybatis.jpetstore.domain.Order.getBillAddress1(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillAddress2(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillCity(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillCountry(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillState(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillToFirstName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillToLastName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillZip(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getCardType(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getCourier(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getCreditCard(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getExpiryDate(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getLineItems(): java.util.List,[],[],0
org.mybatis.jpetstore.domain.Order.getLocale(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getOrderDate(): java.util.Date,[],[],0
org.mybatis.jpetstore.domain.Order.getOrderId(): int,[],[],0
org.mybatis.jpetstore.domain.Order.getShipAddress1(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipAddress2(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipCity(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipCountry(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipState(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipToFirstName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipToLastName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipZip(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getStatus(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getTotalPrice(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.Order.getUsername(): java.lang.String,[],[],0
"org.mybatis.jpetstore.domain.Order.initOrder(org.mybatis.jpetstore.domain.Account, org.mybatis.jpetstore.domain.Cart): void","['org.mybatis.jpetstore.domain.Account', 'org.mybatis.jpetstore.domain.Cart']","[64, 64]",128
org.mybatis.jpetstore.domain.Order.lineItems,[],[],0
org.mybatis.jpetstore.domain.Order.locale,[],[],0
org.mybatis.jpetstore.domain.Order.orderDate,[],[],0
org.mybatis.jpetstore.domain.Order.orderId,[],[],0
org.mybatis.jpetstore.domain.Order.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.Order.setBillAddress1(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillAddress2(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillCity(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillCountry(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillState(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillToFirstName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillToLastName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillZip(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setCardType(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setCourier(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setCreditCard(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setExpiryDate(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setLineItems(java.util.List): void,['java.util.List'],[24],24
org.mybatis.jpetstore.domain.Order.setLocale(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setOrderDate(java.util.Date): void,['java.util.Date'],[24],24
org.mybatis.jpetstore.domain.Order.setOrderId(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.Order.setShipAddress1(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipAddress2(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipCity(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipCountry(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipState(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipToFirstName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipToLastName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipZip(java.lang.String): void,['java.lang.String'],[24],24
